Source_ID,Target_ID,Edge type,Weight,Source_Name,Target_Name,Date,Total no. sender:,Total no. recipient:,ID Letters 1916,Item type,Contributor,
per_014,per_013,directed,1,Cis Doherty,Charlie / Cormac Daly,16 February 1923,4,90,6259,Letter ,Kerry Library Tralee,
per_014,per_013,directed,1,Cis Doherty,Charlie / Cormac Daly,December 1922],4,90,7.json226 , Christmas Card ,Kerry Library Tralee,
per_015,per_028,directed,1,Colm O'Neill,Ellen Daly,26 November 1923,1,80,5104,Letter,Kerry Library Tralee,
per_016,per_099,directed,1,Con Lucy,Thomas Daly,2 December 1923,3,7,5404,Letter,Kerry Library Tralee,
per_016,per_047,directed,1,Con Lucy,William / Willie / Liam Daly,9 November 1923,3,12,5403,Letter,Kerry Library Tralee,
per_016,per_099,directed,1,Con Lucy,Thomas Daly,9 November 1923,3,7,5403, Letter ,Kerry Library Tralee,
per_017,per_013,directed,1,Con Sullivan,Charlie / Cormac Daly,15 February 1923,1,90,5045,Letter,Kerry Library Tralee,
per_018,per_009,directed,1,Cornelius Daly,C. I. Francis,[November 1923],3,1,6446,Letter,Kerry Library Tralee,
per_018,per_047,directed,1,Cornelius Daly,William / Willie / Liam Daly,15 June 1923,3,12,6458,Letter,Kerry Library Tralee,
per_018,per_013,directed,1,Cornelius Daly,Charlie / Cormac Daly,19 February 1923,3,90,6448,Letter,Kerry Library Tralee,
per_111,per_013,directed,1,D. V.,Charlie / Cormac Daly,10 January 1923,1,90,7.json246 , Letter ,Kerry Library Tralee,
per_021,per_018,directed,1,David Fitzgerald,Cornelius Daly,19 April 1923,2,14,6457,Letter,Kerry Library Tralee,
per_021,per_013,directed,1,David Fitzgerald,Charlie / Cormac Daly,26 February 1923,2,90,5048,Letter,Kerry Library Tralee,
per_022,per_028,directed,1,Denis Mahony,Ellen Daly,[1923],1,80,5085,Letter,Kerry Library Tralee,
per_024,per_099,directed,1,Director of Organisation,Thomas Daly,12 November 1920,2,7,6177,Letter,Kerry Library Tralee,
per_024,per_013,directed,1,Director of Organisation,Charlie / Cormac Daly,24 June 1921,2,90,5005,Letter,Kerry Library Tralee,
per_025,per_013,directed,1,Domhnall,Charlie / Cormac Daly,22 February 1923,1,90,5047,Letter,Kerry Library Tralee,
per_026,per_028,directed,1,Domhnall MacEarraig,Ellen Daly,1 April 1923,1,80,5094,Letter,Kerry Library Tralee,
per_019,per_057,directed,1,Dómnall Ua Cathail,Mary / May / Máire Daly,[February 1923],2,36,5110,Letter,Kerry Library Tralee,
per_019,per_013,directed,1,Dómnall Ua Cathail,Charlie / Cormac Daly,20 January 1923,2,90,5038,Letter,Kerry Library Tralee,
